"2 process MPI par nœud en mode voisin, 1th par process MPI, kernel 1"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"8,81","5,73","3,77","2,75","2,21",,,,
Gigaflops,"15,61","23,97","36,41","50,07","62,08",,,,
Speedup,"1,00","1,54","2,33","3,21","3,98","0,00","0,00","0,00","0,00"
Efficacité (%),100,77,58,40,25,0,0,0,0

"2 process MPI par nœud en mode voisin, 2th par process MPI, kernel 1"
Nb de nœuds,1,2,4,8,16,32,64,128,256
Texec (s),"8,95","5,89","4,25","2,94","2,43",,,,
Gigaflops,"15,36","23,35","32,33","46,77","56,44",,,,
Speedup,"1,00","1,52","2,10","3,04","3,67","0,00","0,00","0,00","0,00"
Efficacité (%),100,76,53,38,23,0,0,0,0
